Title, 
Type, DCV_(022)
MAX, 100,34, V, 23.10.02
MIN, 1,1485, V, 23.05.02
AVG., 48,2992, V

No, Date, Time, Value, Unit
 0270, 2017/11/07, 23.09.28, 86,88, V
 0271, 2017/11/07, 23.09.29, 87,12, V
 0272, 2017/11/07, 23.09.30, 87,43, V
 0273, 2017/11/07, 23.09.31, 87,78, V
 0274, 2017/11/07, 23.09.32, 88,19, V
 0275, 2017/11/07, 23.09.33, 88,39, V
 0276, 2017/11/07, 23.09.34, 89,09, V
 0277, 2017/11/07, 23.09.35, 89,34, V
 0278, 2017/11/07, 23.09.36, 89,75, V
 0279, 2017/11/07, 23.09.37, 90,08, V
 0280, 2017/11/07, 23.09.38, 90,46, V
 0281, 2017/11/07, 23.09.39, 91,03, V
 0282, 2017/11/07, 23.09.40, 91,71, V
 0283, 2017/11/07, 23.09.41, 92,16, V
 0284, 2017/11/07, 23.09.42, 92,29, V
 0285, 2017/11/07, 23.09.43, 92,95, V
 0286, 2017/11/07, 23.09.44, 93,08, V
 0287, 2017/11/07, 23.09.45, 93,58, V
 0288, 2017/11/07, 23.09.46, 94,07, V
 0289, 2017/11/07, 23.09.47, 94,53, V
 0290, 2017/11/07, 23.09.48, 94,76, V
 0291, 2017/11/07, 23.09.49, 95,03, V
 0292, 2017/11/07, 23.09.50, 95,55, V
 0293, 2017/11/07, 23.09.51, 96,24, V
 0294, 2017/11/07, 23.09.52, 96,58, V
 0295, 2017/11/07, 23.09.53, 97,06, V
 0296, 2017/11/07, 23.09.54, 97,62, V
 0297, 2017/11/07, 23.09.55, 98,23, V
 0298, 2017/11/07, 23.09.56, 98,65, V
 0299, 2017/11/07, 23.09.57, 99,25, V
 0300, 2017/11/07, 23.09.58, 99,80, V
 0301, 2017/11/07, 23.09.59, 100,33, V
 0302, 2017/11/07, 23.10.00, 100,33, V
 0303, 2017/11/07, 23.10.01, 100,33, V
 0304, 2017/11/07, 23.10.02, 100,34, V
 0305, 2017/11/07, 23.10.03, 100,34, V
 0306, 2017/11/07, 23.10.04, 100,34, V
 0307, 2017/11/07, 23.10.05, 100,34, V
 0308, 2017/11/07, 23.10.06, 100,34, V
 0309, 2017/11/07, 23.10.07, 100,34, V
 0310, 2017/11/07, 23.10.08, 100,34, V
 0311, 2017/11/07, 23.10.09, 100,34, V
 0312, 2017/11/07, 23.10.10, 100,34, V
 0313, 2017/11/07, 23.10.11, 100,34, V
 0314, 2017/11/07, 23.10.12, 100,34, V
 0315, 2017/11/07, 23.10.13, 100,34, V
 0316, 2017/11/07, 23.10.14, 100,34, V
 0317, 2017/11/07, 23.10.15, 100,34, V
 0318, 2017/11/07, 23.10.16, 100,34, V
